Beer,Brewery,Style,YourRating,GlobalRating
Cowboy Siesta,Fair-Weather Friend,Stout - Imperial / Double,4.25,4.25
Guayabera,Cigar City Brewing,Pale Ale - American,3.75,3.72
Lit - Watermelon,Barn Town Brewing,Sour - Other,4,4.04
Culinary Fuel,Barn Town Brewing,Sour - Fruited,4,3.87
Neon Beer Hug,Goose Island Beer Co.,IPA - American,3.75,3.66
Bourbon County Brand Cherry Wood Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4,4.28
Remembered Time,Lion Bridge Brewing Company,Strong Ale - Other,4,4.22
St. Nick’s Christkindlbier,Confluence Brewing Company,Spiced / Herbed Beer,3.5,3.88
Campfire Compadre,NoCoast Beer Co,IPA - Session,3.75,3.6
Barrel Aged The Visitor Imperial Stout (Pure Liquid Cacao & Hazelnut) -- Batch I (12/1/2021),Alluvial Brewing Company,Stout - Imperial / Double,4,4.08
The Oracle,Anchorage Brewing Company,Sour - Fruited,3.25,4.06
Sugarwood Baklava,Boulevard Brewing Co.,Brown Ale - Imperial / Double,3.75,4.04
La Roja Variant Series Boysenberry And Guava,Jolly Pumpkin Artisan Ales,Sour - Flanders Red Ale,3.5,3.91
Ancient Magick (2021),Old Irving Brewing Co.,Stout - Imperial / Double,4.25,4.19
Royal Eddy,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4,4.13
Stickee Monkee (2016),Firestone Walker Brewing Company,Strong Ale - American,3.75,4.4
Big Bad Baptist Reserve (Release #6) ,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4.25,4.26
Chocolate Milk Stout With Coconut,Barn Town Brewing,Stout - Milk / Sweet,4.25,4.05
Coffee Shop Vibes (2020),Shared,Stout - Russian Imperial,3.25,4.35
"Fruitcake Cookie Stout, Bourbon Barrel Aged Oatmeal Stout W/ Dried Fruit & Candied Pecans",Confluence Brewing Company,Stout - Imperial / Double,3.25,3.81
Oatbreaker,Flix Brewhouse - Des Moines,Stout - Oatmeal,3,3.9
Richard the Whale: Well Baked Richard,Big Grove Brewery,Stout - Russian Imperial,4.75,4.37
Adult Nap Time - Pecan,Millstream Brewing,Porter - Other,4,3.92
Green Leewood,Kinship Brewing Co.,Porter - American,3.25,3.72
Bourbon Barrel Aged Dark Star (2020),Fremont Brewing,Stout - Imperial / Double Oatmeal,4,4.39
Big Frooty Black Forest Cake,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.17
Brian's Great Grape,Barn Town Brewing,Sour - Fruited,4.25,4.21
No Takezees Backzees,Barn Town Brewing,IPA - Imperial / Double,3.75,3.82
Barleywine (2021),Barn Town Brewing,Barleywine - English,3,3.72
Barleywine - Vanilla Cinnamon (2021),Barn Town Brewing,Barleywine - English,3.25,3.82
BA Cicada Killer - Maple Cinnamon Marshmallow (2021),Barn Town Brewing,Stout - Imperial / Double,4.25,4.2
Here,Lua Brewing,Stout - Other,4.75,4.41
Cranberry Gose,Third Space Brewing,Sour - Fruited Gose,3.25,3.59
Mocha Berry Bock (Thumbprint),New Glarus Brewing Company,Bock - Doppelbock,4,3.95
Medelyan Russian Imperial Stout,Great Dane Pub & Brewing Company,Stout - Russian Imperial,4,3.96
Blackout Brunch,Turning Point Beer,Stout - Imperial / Double Pastry,4.25,4.37
Vice Mixed Berries,Wild Barrel Brewing,Sour - Fruited Berliner Weisse,4.5,4.06
Island Life,Pulpit Rock Brewing Company,Sour - Other,4.5,4.33
Comfy Pants,Lion Bridge Brewing Company,Winter Warmer,3.75,3.79
Lemon Lime Sparkle,Thew Brewing Company ,Hard Seltzer,2.25,2.86
Swingin Sticks With Angry Chair,Humble Forager Brewery,Stout - Imperial / Double,3.75,3.95
Cordially Yours,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.15
"Braaaaaaaains - Blueberry, Black Currant, & Plum Double Fruit Smoothie Sour",Drekker Brewing Company,Sour - Smoothie / Pastry,4.25,4.29
Doomed,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.5,4.4
Coffee Vanilla Dire Wolf,Wolf's Ridge Brewing,Stout - Russian Imperial,3.75,4.18
Wake the Others,Anchorage Brewing Company,IPA - Triple New England / Hazy,4.75,4.27
Kentucky Brunch Brand Stout (2021),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.83
Mornin' Delight (2021),Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.59
Mr Hoppy Pants,Pulpit Rock Brewing Company,IPA - Imperial / Double,4,4.23
Church Salad,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4,4.18
Term Oil Mostra 7th Anniversary,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,5,4.44
Term Oil Breakfast Royale,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.75,4.45
2021 Dark Charge Mole,Braxton Brewing Company,Stout - Imperial / Double,4,4.03
9th Anniversary Stout,Backpocket Brewing,Stout - Russian Imperial,4.25,4.19
Big Bad Baptist Chocolate Raspberry (Release #2),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,4.16
Forced Flair,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.12
Windy Wheat,Kinship Brewing Co.,Wheat Beer - American Pale Wheat,3.25,3.65
Foundation Series #1: Pinkies Out 2021,Court Avenue Brewing Company,Brown Ale - English,3.75,4.03
Bourbon County Brand Fourteen Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.44
Bourbon County Brand Classic Cola Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.1
Barrel-Aged Monogrammatic,Revision Brewing Company,Stout - Imperial / Double,3.75,4.32
El Jefe (2018),Madhouse Brewing Company,Stout - Imperial / Double,4.5,4.39
"Barrel Aged Cicada Killer - Cinnamon, Coconut, Caramel, & Chocolate - 2021",Barn Town Brewing,Stout - Imperial / Double Pastry,4.25,4.33
Velvet Merkin (2016),Firestone Walker Brewing Company,Stout - Imperial / Double Oatmeal,3.75,4.22
Montana Original Lager,Bayern Brewing,Lager - Pale,3,3.55
Bud Light Strawberry Lemonade,Anheuser-Busch,Lager - American Light,2.75,3.17
Samuel Adams Old Fezziwig,Samuel Adams,Old Ale,1.25,3.39
