Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Dark Charge - S'mores (2020),Braxton Brewing Company,Stout - Pastry,4,3.84,12/31/20,12/31/20
Cranberry Orange,Jefferson County Ciderworks,Cider - Other Fruit,2,3.68,12/30/20,12/30/20
Pour-Over Porter,Pulpit Rock Brewing Company,Porter - American,3.75,4.06,12/30/20,12/30/20
'Tis the Saison,Kalona Brewing Company,Spiced / Herbed Beer,3.25,3.38,12/29/20,12/29/20
Chocolate Blood Orange Saison,Reclaimed Rails Brewing Company,Farmhouse Ale - Saison,3.75,3.41,12/29/20,12/29/20
Get A Little Hazy,Peace Tree Brewing Company,IPA - New England / Hazy,4,3.8,12/28/20,12/28/20
Bitter Elf,West O Beer,IPA - American,3.5,3.67,12/28/20,12/28/20
Schokolade Bock,Millstream Brewing,Bock - Single / Traditional,3.75,3.56,12/28/20,12/28/20
Ichiban (Ichiban Shibori) (一番搾り),Kirin Brewery Company,Lager - Pale,3.5,3.14,12/28/20,12/28/20
Something So Sincere (2020),Casita Brewing Company,Stout - Imperial / Double Pastry,4,3.94,12/27/20,12/27/20
Barrel Aged The Visitor Imperial Stout (Cinnamon Roll) -- Batch I (12/18/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.3,12/27/20,12/27/20
Brewer's Reserve Bourbon Barrel Cherry Stout,Central Waters Brewing Company,Stout - Imperial / Double,3.75,3.93,12/26/20,12/26/20
Barrel Aged Aurox Imperial Stout (Triple Vanilla) -- Batch I (10/30/2020),Alluvial Brewing Company,Stout - Imperial / Double,4,3.97,12/24/20,12/24/20
Quiet,Lua Brewing,Stout - Other,4.5,4.49,12/24/20,12/24/20
Cherry Fluff,Dimensional Brewing Company,Sour - Fruited,4,4.11,12/23/20,12/23/20
Pleasant Street Cream Ale,Limestone Brewers,Cream Ale,3.75,3.56,12/23/20,12/23/20
Brolo Ties,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.04,12/22/20,12/22/20
Jumbled Up,Dimensional Brewing Company,Stout - Coffee,4.25,4.01,12/22/20,12/22/20
Digital Distraction,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.1,12/22/20,12/22/20
Jacuzzi Moves,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.37,12/21/20,12/21/20
Drury Lane,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.26,12/21/20,12/21/20
Barrel Aged The Visitor Imperial Stout (Triple Chocolate) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,3.75,4.04,12/20/20,12/20/20
Ghosts of Giants,Varietal Beer Co.,Stout - Imperial / Double,3,3.97,12/20/20,12/20/20
