Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Wade Wisely,Big Grove Brewery,Stout - Oatmeal,3.5,3.9,12/04/21,12/04/21
Barrel Aged Velvet | 2021,Big Grove Brewery,Stout - Imperial / Double,4.5,4.59,12/04/21,12/04/21
9th Anniversary Stout,Backpocket Brewing,Stout - Russian Imperial,4.25,4.19,12/03/21,12/03/21
2021 Dark Charge Mole,Braxton Brewing Company,Stout - Imperial / Double,4,4.03,12/03/21,12/03/21
Big Bad Baptist Chocolate Raspberry (Release #2),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,4.16,12/02/21,12/02/21
Digital Dawn,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.13,12/02/21,12/02/21
Forced Flair,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.12,12/02/21,12/02/21
Bourbon County Brand Classic Cola Stout (2021),Goose Island Beer Co.,Stout - Imperial / Double,4.25,4.1,11/29/21,11/29/21
Convey Ideas,Company Values,Sour - Smoothie / Pastry,4.25,4.14,11/29/21,11/29/21
Yer Killin' Me S'mores! (2021),Barn Town Brewing,Stout - Imperial / Double Milk,4.5,4.16,11/29/21,11/29/21
Bourbon County Brand Wheatwine (2019),Goose Island Beer Co.,Wheat Beer - Wheat Wine,3,4.18,11/29/21,11/29/21
Barrel-Aged Monogrammatic,Revision Brewing Company,Stout - Imperial / Double,3.75,4.32,11/29/21,11/29/21
"Bourbon Barrel Ferryman's, Bourbon Barrel Aged Russian Imperial Stout",Confluence Brewing Company,Stout - Russian Imperial,4,4.12,11/27/21,11/27/21
Stuff of Legend,Boulevard Brewing Co.,Stout - Imperial / Double Pastry,4,4,11/27/21,11/27/21
By & By,YaYa Brewing Company,Stout - Milk / Sweet,3,4.06,11/27/21,11/27/21
El Jefe (2018),Madhouse Brewing Company,Stout - Imperial / Double,4.25,4.39,11/26/21,11/26/21
KBS Cinnamon Vanilla Cocoa (2021),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.12,11/24/21,11/24/21
"Barrel Aged Cicada Killer - Cinnamon, Coconut, Caramel, & Chocolate - 2021",Barn Town Brewing,Stout - Imperial / Double Pastry,4.25,4.33,11/24/21,11/24/21
Velvet Merkin (2016),Firestone Walker Brewing Company,Stout - Imperial / Double Oatmeal,3.25,4.22,11/24/21,11/24/21
Salmon Fly Honey Rye,Madison River Brewing Company,Rye Beer,2.5,3.6,11/22/21,11/22/21
Rooty Tooty Fresh 'n Fruity,Prairie Artisan Ales,Sour - Fruited,3.75,3.99,11/20/21,11/20/21
Barrel Aged Moose Boots,Prairie Artisan Ales,Stout - Imperial / Double Pastry,4,4.17,11/20/21,11/20/21
Double Vanilla Noir,Prairie Artisan Ales,Stout - Imperial / Double,4,4.23,11/20/21,11/20/21
Barrel Aged Aurox Imperial Stout (French Toast) -- Batch I (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.21,11/14/21,11/14/21
ISAAC,BIRRIFICIO AGRICOLO BALADIN - Baladin Indipendente Italian Farm Brewery,Wheat Beer - Witbier / Blanche,3,3.51,11/13/21,11/13/21
Ramble On,Starr Hill Brewery,IPA - New England / Hazy,2.75,3.76,11/13/21,11/13/21
Red Molly,Pale Fire Brewing Company,Red Ale - Irish,3,3.64,11/13/21,11/13/21
Loose Cannon,Heavy Seas Beer,IPA - American,3.75,3.69,11/13/21,11/13/21
Peter Straub Signature Brews Winter Bash,Straub Brewery,Fruit Beer,3.25,3.54,11/12/21,11/12/21
Percussive Maintenance: Vanilla (7th Anniversary Stout),Lion Bridge Brewing Company,Stout - Imperial / Double,4.5,4.29,11/12/21,11/12/21
Canadian Breakfast Stout (CBS) (2018),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.44,11/09/21,11/09/21
Hells Half Acre (Chocolate Lava Stout),Jackson Street Brewing,Stout - Other,4.25,4.16,11/06/21,11/06/21
Bigger Badder Baptista (2020),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double Coffee,4,4.22,11/06/21,11/06/21
Bourbon County Brand Stout (2018) 14.7%,Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.47,11/06/21,11/06/21
Florida Stout (Coconut & Vanilla) [Batch 3],Voodoo Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.2,11/06/21,11/06/21
Black Butte XXIV,Deschutes Brewery,Porter - Imperial / Double,3.75,4.25,11/06/21,11/06/21
Kölsch 151,Blue Mountain Brewery,Kölsch,3.5,3.44,10/31/21,10/31/21
The Great Return,Hardywood Park Craft Brewery,IPA - American,3,3.7,10/31/21,10/31/21
Hitachino Nest Dai Dai Ale,Kiuchi Brewery,IPA - English,3.75,3.54,10/31/21,10/31/21
Get Chocolate Wasted,Gezellig Brewing Company,Stout - Imperial / Double Milk,3.25,4.19,10/24/21,10/24/21
Black Betty Imperial Stout,Nebraska Brewing Company,Stout - Russian Imperial,3.75,4.06,10/24/21,10/24/21
Nothing Gained,Lua Brewing,Sour - Fruited,4.25,4.36,10/24/21,10/24/21
Barrel Aged Aurox Imperial Stout -- Batch I (2/29/2020),Alluvial Brewing Company,Stout - Imperial / Double,4,4.2,10/24/21,10/24/21
Witch's Broom,Toppling Goliath Brewing Co.,IPA - Imperial / Double,3.5,4.01,10/24/21,10/24/21
Oktoberfest,Barn Town Brewing,Märzen,3.25,3.63,10/18/21,10/18/21
Buffalo Snot,Mt. Rushmore Brewing Company,Stout - Oatmeal,3,3.63,10/17/21,10/17/21
Traditional Oatmeal Stout,Barn Town Brewing,Stout - Oatmeal,3.75,3.78,10/11/21,10/11/21
Aww Shucks,Barn Town Brewing,Sour - Fruited,3.75,4.03,10/11/21,10/11/21
Caramel Apple GF Sour,Barn Town Brewing,Sour - Fruited,3.75,4.12,10/11/21,10/11/21
Ass In the Sand,Barn Town Brewing,Sour - Fruited,4,4.01,10/11/21,10/11/21
Pain Killer,Barn Town Brewing,Gluten-Free,3.25,4,10/11/21,10/11/21
Lick the Spoon,White Elm Brewing Company,Stout - Imperial / Double Milk,4.25,4.17,10/10/21,10/10/21
Madagascar,4 Hands Brewing Company,Stout - Imperial / Double Milk,4.5,4.34,10/10/21,10/10/21
Hazelnut Imperial Stout (2021),Untitled Art,Stout - Imperial / Double Milk,4,4.12,10/10/21,10/10/21
"Frubulous - Raspberry, Orange, Lime & Sherbert",Deciduous Brewing Company,Sour - Fruited,4.5,4.27,10/10/21,10/10/21
STRAWBERRY BANANA,Smooj,Hard Seltzer,3.25,4.32,10/10/21,10/10/21
Everybody Love Everybody,Drekker Brewing Company,Sour - Smoothie / Pastry,3.75,4.17,10/07/21,10/07/21
Lilith's Brethren,Anchorage Brewing Company,IPA - Imperial / Double,4.25,4.15,10/07/21,10/07/21
Dire Wolf Yub Nub,Wolf's Ridge Brewing,Stout - Russian Imperial,4,4.16,10/07/21,10/07/21
Helldorado (2016),Firestone Walker Brewing Company,Barleywine - American,2.5,4.22,10/07/21,10/07/21
"Barrel Aged Cicada Killer – Coffee, Macadamia Nut, & Chocolate",Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.41,09/26/21,09/26/21
The Abyss (2010),Deschutes Brewery,Stout - Imperial / Double,2,4.41,09/26/21,09/26/21
Bourbon County Brand Special #4 Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double Oatmeal,4.25,4.4,09/26/21,09/26/21
Fresh Batch Series: S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double Pastry,4.25,4.15,09/26/21,09/26/21
Ol’ Griz Barleywine (Barrel Aged) 2020,Boone Valley Brewing Company,Barleywine - American,1.75,4.08,09/26/21,09/26/21
Approaching Entropy: 001,Drekker Brewing Company,Stout - Imperial / Double Milk,4.25,4.27,09/25/21,09/25/21
Fuzz Buzz,Barn Town Brewing,Mead - Braggot,4,4.04,09/25/21,09/25/21
Juicy Wagon,Uptown Garage Brewing Company,IPA - New England / Hazy,3.75,3.73,09/25/21,09/25/21
5X Stout,Five Threads Brewing Company,Stout - Other,3.75,4,09/23/21,09/23/21
Bourbon Barrel-Aged Imperial Stout (2021),Westbound & Down,Stout - Imperial / Double,4.25,4.42,09/19/21,09/19/21
Space Trash,Newgrass Brewing Co.,Sour - Smoothie / Pastry,3,4.27,09/19/21,09/19/21
"DUMB FRUIT 4 - PASSION FRUIT, RASPBERRY, MANGO, COCONUT MACAROON",Evil Twin Brewing NYC,Sour - Fruited,4.25,4.39,09/19/21,09/19/21
Resting Peach Face,903 Brewers,Sour - Fruited Berliner Weisse,4,4.14,09/19/21,09/19/21
Go Wide Series 001 - Vietnam,Kinship Brewing Co.,Lager - Japanese Rice,3,3.79,09/18/21,09/18/21
"Oh, Billy.",Kinship Brewing Co.,Pale Ale - American,3.75,3.71,09/18/21,09/18/21
Kinfest,Kinship Brewing Co.,Festbier,3.5,3.7,09/18/21,09/18/21
Barrel Aged Wisconsin Stout (2021),Untitled Art,Stout - Imperial / Double Milk,4.25,4.25,09/14/21,09/14/21
Barrel Aged Aurox Imperial Stout (Pure Liquid Cacao & Coconut) -- Batch V (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.19,09/14/21,09/14/21
Barrel Aged Aurox Imperial Stout (Cacao Nibs & Raspberries) -- Batch II (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4,4.09,09/09/21,09/09/21
Traeblod,Mikkeller Brewing San Diego,Stout - Imperial / Double,4.25,4.09,09/09/21,09/09/21
Bakery: Boysenberry Pie,The Bruery,Stout - Imperial / Double Pastry,3,3.93,09/09/21,09/09/21
"Jammy Pants (Raspberry, Cherry and Lime)",Great Notion Brewing,Sour - Fruited,3.5,4.13,09/09/21,09/09/21
Smeerolie Coconut Milkshake (2021),Moersleutel Craft Brewery,Stout - Imperial / Double Milk,4.25,4.02,09/09/21,09/09/21
Mai Tai,903 Brewers,Sour - Fruited Berliner Weisse,4.25,4.18,09/09/21,09/09/21
Flat Earth Double NEIPA,Masthead Brewing Company,IPA - Imperial / Double New England / Hazy,4.25,4.2,09/06/21,09/06/21
HELP>SLIP>HAZY,Source Brewing,IPA - Imperial / Double New England / Hazy,4.25,4.26,09/06/21,09/06/21
Into Nothingness,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.31,09/03/21,09/03/21
Super Fractal Kangaroo Set,Equilibrium Brewery,IPA - Triple,4.25,4.34,09/03/21,09/03/21
Tired But Wired,Anchorage Brewing Company,Stout - Imperial / Double Coffee,4.5,4.44,09/03/21,09/03/21
The Sacrifice,Anchorage Brewing Company,Stout - Imperial / Double,4.5,4.47,09/03/21,09/03/21
Beer Geek S’mores Shake,Mikkeller Brewing San Diego,Stout - Imperial / Double Pastry,3.25,3.68,09/03/21,09/03/21
Dessert Cart - S'mores,Mountains Walking Brewery,Stout - Imperial / Double Pastry,4.25,4.16,08/30/21,08/30/21
Player Haters Ball,Weathered Souls Brewing Co.,Stout - Imperial / Double,4,4.09,08/29/21,08/29/21
Peanut Butter Volcano,Ferndale Project,Stout - Imperial / Double,4,4.1,08/29/21,08/29/21
Single Origin,4 Hands Brewing Company,Stout - Imperial / Double,3.75,4.15,08/27/21,08/27/21
Mexican Cake,Westbrook Brewing Co.,Stout - Imperial / Double,4.25,4.27,08/27/21,08/27/21
Wednesday (2020),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.46,08/27/21,08/27/21
Dark Hollow,Blue Mountain Brewery,Stout - Imperial / Double,4,4,08/27/21,08/27/21
Sticky Icky,The Brewing Projekt,Stout - Imperial / Double Milk,4,4.1,08/27/21,08/27/21
Coconut Pie Face,Revision Brewing Company,Stout - Imperial / Double Pastry,4,4.31,08/27/21,08/27/21
"TO THE MILKY WAY & BACK II - RASPBERRY, STRAWBERRY, BLACKBERRY, VANILLA",Evil Twin Brewing NYC,IPA - Milkshake,4.75,4.43,08/24/21,08/24/21
CHONK Strawberry & White Chocolate,Drekker Brewing Company,Sour - Fruited,4,4.25,08/23/21,08/23/21
Rwanda French Press,Weathered Souls Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.21,08/22/21,08/22/21
Hot Dog Time Machine,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4,4.08,08/17/21,08/17/21
Barrel Aged Pecan Porter,Millstream Brewing,Porter - Other,3.5,3.93,08/17/21,08/17/21
Blackberry American Wild Ale,Lion Bridge Brewing Company,Sour - Fruited,2.5,3.71,08/17/21,08/17/21
Cran-Orange Wheat,Brightside Aleworks,Wheat Beer - American Pale Wheat,3.75,3.78,08/17/21,08/17/21
Keg of Cookies,Peace Tree Brewing Company,Lager - American,3.75,3.74,08/17/21,08/17/21
Grapefruit IPA,Back Road Brewery,IPA - American,2.5,3.2,08/17/21,08/17/21
Blueberry Muffin,Second State Brewing,Fruit Beer,3.5,3.65,08/17/21,08/17/21
Birthday Bourbon County Brand Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.59,08/15/21,08/15/21
Cruda Ayuda,Isla Brewing Company,Hard Ginger Beer,3.5,3.49,08/03/21,08/03/21
Tesoro Pirata,Isla Brewing Company,Porter - Other,3.5,3.62,08/03/21,08/03/21
Mucho Macho,Isla Brewing Company,IPA - Imperial / Double,3.5,3.74,08/03/21,08/03/21
La Mordida,Isla Brewing Company,IPA - American,3,3.67,08/03/21,08/03/21
Playa Norte,Isla Brewing Company,Pale Ale - American,3,3.57,08/03/21,08/03/21
Jamaica Miel Loco,Isla Brewing Company,Gluten-Free,4,3.57,08/03/21,08/03/21
Claro Que Si,Isla Brewing Company,Blonde Ale,3.5,3.49,08/03/21,08/03/21
Woodbooger Belgian-Style Brown Ale,Strangeways Brewing,Brown Ale - Belgian,3.5,3.62,07/31/21,07/31/21
Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,Lager - Helles,3.5,3.6,07/31/21,07/31/21
Exit 3 - Blueberry Braggot,Flying Fish Brewing Co.,Mead - Braggot,2.75,3.63,07/28/21,07/28/21
90/~ Wee Heavy,Belhaven Brewery,Scotch Ale / Wee Heavy,2.75,3.69,07/28/21,07/28/21
Big Ed,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,4,4.29,07/28/21,07/28/21
Soothsayer,Lua Brewing,IPA - Imperial / Double New England / Hazy,4,4.22,07/28/21,07/28/21
Raspberry Main Squeeze,Lake Time Brewery,Fruit Beer,3.5,3.46,07/25/21,07/25/21
Pucker Up Right Meow Vol. 2 Cherry Pie,Backpocket Brewing,Sour - Smoothie / Pastry,4,3.92,07/25/21,07/25/21
Victory Dance,SingleSpeed Brewing Company,IPA - American,4,3.8,07/24/21,07/24/21
Lontra IPA,Alluvial Brewing Company,IPA - New England / Hazy,4,4.03,07/24/21,07/24/21
Mahalo Pineapple Radler,Front Street Brewery (IA),Shandy / Radler,3.75,3.84,07/24/21,07/24/21
Bikini Bottom Pineapple Wheat,5ive Cities Brewing,Fruit Beer,3.75,3.9,07/24/21,07/24/21
Sunny,Peace Tree Brewing Company,Belgian Blonde,3.5,3.44,07/24/21,07/24/21
Red Rambler,Peace Tree Brewing Company,Red Ale - American Amber / Red,3.5,3.51,07/24/21,07/24/21
Lake Loop,Peace Tree Brewing Company,Pale Ale - American,3.5,3.64,07/24/21,07/24/21
Peace Tree Stout,Peace Tree Brewing Company,Stout - American,3.75,3.81,07/24/21,07/24/21
Mile Long Lager,Peace Tree Brewing Company,Lager - Pale,3.5,3.52,07/24/21,07/24/21
War Tree Bananza Stout,Peace Tree Brewing Company,Stout - American,3.75,3.67,07/24/21,07/24/21
4 Wide Wheat,Peace Tree Brewing Company,Wheat Beer - American Pale Wheat,3.5,3.62,07/24/21,07/24/21
Sour Cherry Gose,Peace Tree Brewing Company,Sour - Fruited Gose,3.5,3.77,07/24/21,07/24/21
TV Static (Seltzer),1717 Brewing Company,Hard Seltzer,3.5,3.72,07/24/21,07/24/21
1000 Rated,1717 Brewing Company,Pale Ale - American,3.75,3.77,07/24/21,07/24/21
Juicy IPA,1717 Brewing Company,IPA - New England / Hazy,3.5,3.56,07/24/21,07/24/21
Cream Ale,1717 Brewing Company,Cream Ale,3,3.59,07/24/21,07/24/21
Des Moines Rugger,1717 Brewing Company,Blonde Ale,3.75,3.51,07/24/21,07/24/21
Juice Box Summer Ale,1717 Brewing Company,Shandy / Radler,3.5,3.36,07/24/21,07/24/21
Baby Girl,Lua Brewing,Sour - Fruited,4,4.18,07/24/21,07/24/21
Spooky Girl,Lua Brewing,Sour - Fruited,4.5,4.25,07/24/21,07/24/21
Canadian Tuxedo,Barn Town Brewing,Stout - Imperial / Double Milk,4,4.04,07/23/21,07/23/21
Dunkel,Warsteiner,Lager - Munich Dunkel,3.5,3.64,07/21/21,07/21/21
Guinness Draught,Guinness,Stout - Irish Dry,4,3.77,07/21/21,07/21/21
Mahou Cinco Estrellas,Grupo Mahou-San Miguel,Lager - Pale,3,2.95,07/21/21,07/21/21
Dusk Till Dusk (2020),Jailbreak Brewing Company,Stout - Imperial / Double,4.25,4.3,07/21/21,07/21/21
Marvoloso 2020: V08,Commonwealth Brewing Company,Stout - Imperial / Double Pastry,4.25,4.34,07/21/21,07/21/21
Broken Branch,Barn Town Brewing,IPA - Imperial / Double New England / Hazy,3.75,3.89,07/21/21,07/21/21
Draft,Bold Rock Hard Cider,Cider - Traditional / Apfelwein,3.5,3.63,07/20/21,07/20/21
Sum'r - Summer Ale,Uinta Brewing Company,Blonde Ale,3.5,3.31,07/20/21,07/20/21
Mad Ear,Trinity Brewing Co. (Colorado),Farmhouse Ale - Bière de Garde,2,3.63,07/19/21,07/19/21
Long Black Veil® (2021),Port City Brewing,IPA - Black / Cascadian Dark Ale,3.5,3.88,07/19/21,07/19/21
Schwartz Bier Black Lager,Devils Backbone Brewing Company,Schwarzbier,3.5,3.67,07/18/21,07/18/21
Weekend Lager,Alewerks Brewing Company,Lager - Helles,3.5,3.54,07/18/21,07/18/21
Richmond Lager,Hardywood Park Craft Brewery,Lager - Pale,3.5,3.49,07/18/21,07/18/21
Glitter Bomb,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.19,07/17/21,07/17/21
LOL.,Pulpit Rock Brewing Company,Stout - Imperial / Double Pastry,4.25,4.46,07/16/21,07/16/21
Exit 1: Bayshore Oyster Stout,Flying Fish Brewing Co.,Stout - Oyster,2,3.68,07/16/21,07/16/21
Pastrytown 2021 - Chocolate Macadamia Nut,Other Half Brewing Co.,Stout - Imperial / Double,4,4.08,07/16/21,07/16/21
Cap’n Kooks,Other Half Brewing Co.,Stout - Imperial / Double Pastry,4,4.25,07/16/21,07/16/21
Bourbon Barrel Aged Dark Star: Coffee Cacao Vanilla (2021),Fremont Brewing,Stout - Imperial / Double Oatmeal,4.5,4.39,07/16/21,07/16/21
Dessert Cart - Sour Cinnabon,Mountains Walking Brewery,Stout - Imperial / Double Pastry,3.75,3.95,07/16/21,07/16/21
Barrel-Aged Pastry Stout - Maple Granola,Toppling Goliath Brewing Co.,Stout - Imperial / Double Pastry,4.75,4.34,07/16/21,07/16/21
Cloud City ,Firetrucker Brewery,IPA - New England / Hazy,3.75,3.63,07/10/21,07/10/21
Mango Cart,Golden Road Brewing,Fruit Beer,3.75,3.8,07/10/21,07/10/21
Wild Herd,Goose Island Beer Co.,Kölsch,3.75,3.51,07/10/21,07/10/21
The Real Slim Shandy,Barn Town Brewing,Shandy / Radler,3.5,3.67,07/09/21,07/09/21
Language of Thunder Cumulus (2020),TrimTab Brewing Co.,Stout - Imperial / Double,4,4.18,07/09/21,07/09/21
Drunken Mornings,Brothers Craft Brewing,Stout - Imperial / Double Coffee,2.5,4.01,07/09/21,07/09/21
Bubba,Backpocket Brewing,IPA - New England / Hazy,4,3.88,07/07/21,07/07/21
Easy Eddy,Big Grove Brewery,IPA - New England / Hazy,3.5,3.94,07/07/21,07/07/21
Cake Batter Drive-In,Barn Town Brewing,IPA - Milkshake,3.75,3.71,07/04/21,07/04/21
Local Bubbles: Cherry Bomb,Barn Town Brewing,Hard Seltzer,3,3.72,07/04/21,07/04/21
Driveway Drinker,Barn Town Brewing,Lager - American,3.5,3.69,07/04/21,07/04/21
Double Chocolate Fudgy Brownie Stout,Untitled Art,Stout - Imperial / Double Pastry,4.25,4.29,07/04/21,07/04/21
Exit 16 - Double IPA,Flying Fish Brewing Co.,IPA - Imperial / Double,3.75,3.76,07/04/21,07/04/21
Barrel Aged Still Kooks,Other Half Brewing Co.,Stout - Imperial / Double,4.5,4.17,07/04/21,07/04/21
Barrel Aged Baltic Porter (2020),Saltfire Brewing Co,Porter - Baltic,4,4.21,07/04/21,07/04/21
Bud Light Platinum,Anheuser-Busch,Malt Liquor,2,2.38,07/04/21,07/04/21
Rocket Pop Summer Sour,Barn Town Brewing,Sour - Fruited,3.75,4.08,07/02/21,07/02/21
Picnic on the Tarmac,Barn Town Brewing,IPA - New England / Hazy,4,4.05,07/02/21,07/02/21
Flamingo Fruit Fight,Bell's Brewery,Fruit Beer,3.75,3.65,06/29/21,06/29/21
"Ferryman's Chocolate Covered Cherries, Russian Imperial Stout W/ Cherries, Cacao, & Vanilla",Confluence Brewing Company,Stout - Russian Imperial,2.75,3.85,06/29/21,06/29/21
El Guapo Agave IPA,O'Connor Brewing Co.,IPA - American,3,3.66,06/24/21,06/24/21
Loved By The Sun,Devils Backbone Brewing Company,Fruit Beer,3.5,3.54,06/24/21,06/24/21
Kentucky Bourbon Barrel Strawberry Ale,Lexington Brewing & Distilling Co.,Fruit Beer,2.5,3.55,06/24/21,06/24/21
Tacos And Hash,Lua Brewing,IPA - New England / Hazy,4,4.27,06/22/21,06/22/21
Yard House Honey Blonde,Yard House,Honey Beer,3.5,3.48,06/20/21,06/20/21
Yard House Golden Pilsner,Yard House,Pilsner - Other,3.5,3.42,06/20/21,06/20/21
Yard House White Ale,Yard House,Wheat Beer - Witbier / Blanche,3.5,3.49,06/20/21,06/20/21
Yard House Belgian Golden,Yard House,Belgian Strong Golden Ale,2.75,3.53,06/20/21,06/20/21
Yard House Belgian Amber Tripel,Yard House,Belgian Tripel,3.5,3.54,06/20/21,06/20/21
Oriole,Brookeville Beer Farm,Pale Ale - American,3,3.6,06/19/21,06/19/21
Corny Uncle,Brookeville Beer Farm,Lager - Pale,3.5,3.52,06/19/21,06/19/21
BBF Hazy IPA,Brookeville Beer Farm,IPA - American,3.5,3.72,06/19/21,06/19/21
McDonnell's Pub Irish Stout,Brookeville Beer Farm,Stout - Irish Dry,3.75,3.79,06/19/21,06/19/21
Bet the Farm - Race 2,Brookeville Beer Farm,Pale Ale - American,3.5,3.62,06/19/21,06/19/21
Chillin Watermelon,Brookeville Beer Farm,Hard Seltzer,3.5,3.49,06/19/21,06/19/21
Yellow Finch,Brookeville Beer Farm,Fruit Beer,3.75,3.61,06/19/21,06/19/21
Happenchance,Brookeville Beer Farm,Wheat Beer - Witbier / Blanche,3.5,3.52,06/19/21,06/19/21
The Main Course,Lua Brewing,Sour - Other,4.5,4.4,06/19/21,06/19/21
OG Duckies,Lua Brewing,IPA - Imperial / Double,4.25,4.19,06/19/21,06/19/21
Pineapple Papaya Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.19,06/14/21,06/14/21
Amstel Light,Amstel Bier,Lager - American Light,3.5,2.7,06/13/21,06/13/21
Things We Don’t Say,Barn Town Brewing,IPA - New England / Hazy,4,3.92,06/13/21,06/13/21
Helloha,Barn Town Brewing,Sour - Fruited,3.25,3.86,06/13/21,06/13/21
Cryo Citra Neon,Barn Town Brewing,IPA - New England / Hazy,4.25,4.03,06/13/21,06/13/21
Weihenstephaner Kristallweissbier,Bayerische Staatsbrauerei Weihenstephan,Wheat Beer - Kristallweizen,3.5,3.69,06/11/21,06/11/21
Life For a Puppy Shouldn't Be So Ruff,Transient Artisan Ales,Stout - Imperial / Double,4.25,4.29,06/11/21,06/11/21
Weihenstephaner Vitus,Bayerische Staatsbrauerei Weihenstephan,Bock - Weizenbock,3.75,3.85,06/11/21,06/11/21
Cuvee - Just Strawberry (2021),Cycle Brewing Company,Stout - Imperial / Double,4,4.05,06/11/21,06/11/21
Stone Neverending Haze IPA,Stone Brewing,IPA - Session,3.75,3.62,06/05/21,06/05/21
312 Lemonade Shandy,Goose Island Beer Co.,Shandy / Radler,2.5,3.47,06/05/21,06/05/21
Weihenstephaner Hefeweissbier Dunkel,Bayerische Staatsbrauerei Weihenstephan,Wheat Beer - Dunkelweizen,3.5,3.76,05/31/21,05/31/21
Into the Mist,Transient Artisan Ales,Barleywine - American,2.75,3.78,05/31/21,05/31/21
"Ferryman's German Chocolate, Bourbon Barrel Aged Russian Imperial Stout W/ Cacao & Coconut",Confluence Brewing Company,Stout - Russian Imperial,4.5,4.25,05/31/21,05/31/21
Honey Truncheon,Fenceline Beer Lab,Belgian Strong Dark Ale,4,3.78,05/30/21,05/30/21
Burn the Boats Brown (w/ Hazelnut),Fenceline Beer Lab,Brown Ale - American,4,3.85,05/30/21,05/30/21
Double Kickback,Fenceline Beer Lab,IPA - Imperial / Double,4,3.91,05/30/21,05/30/21
Joe's Your Uncle,Fenceline Beer Lab,IPA - New England / Hazy,3.75,3.58,05/30/21,05/30/21
Queen Whale Imperial Pale Ale,Fenceline Beer Lab,Pale Ale - American,3.5,3.73,05/30/21,05/30/21
Blessing Mimosa,Fenceline Beer Lab,Blonde Ale,4,3.67,05/30/21,05/30/21
Pelican,Fenceline Beer Lab,Farmhouse Ale - Saison,3.75,3.68,05/30/21,05/30/21
First Time Pale Ale,Farmhand Brewing Company,Pale Ale - American,4,N/A,05/22/21,05/22/21
Honey Wheat,Farmhand Brewing Company,Wheat Beer - American Pale Wheat,4,N/A,05/22/21,05/22/21
Sent By Liars,Anchorage Brewing Company,Stout - Imperial / Double,4.75,4.51,05/21/21,05/21/21
Barrel Aged No Cake,Transient Artisan Ales,Stout - Imperial / Double Oatmeal,4.25,4.42,05/17/21,05/17/21
Summer Shandy,Jacob Leinenkugel Brewing Company,Shandy / Radler,4,3.52,05/16/21,05/16/21
Stone Dayfall Belgian White,Stone Brewing,Wheat Beer - Witbier / Blanche,3.75,3.6,05/16/21,05/16/21
Bugs Buckley,Transient Artisan Ales,Stout - Imperial / Double Pastry,4,4.16,05/14/21,05/14/21
Sprankle,Transient Artisan Ales,Sour - Fruited,4.5,4.09,05/14/21,05/14/21
Plurple,Transient Artisan Ales,Sour - Fruited,4.5,4.12,05/14/21,05/14/21
Vanilla Bean Blonde Ale,Infusion Brewing Company,Blonde Ale,3.5,3.81,05/08/21,05/08/21
Strawberry Cherry Swirl,Big Grove Brewery,Sour - Fruited,4,3.93,05/08/21,05/08/21
Don't Be Amber,Farmhand Brewing Company,Brown Ale - American,3.75,3.73,05/08/21,05/08/21
Hay Z IPA,Farmhand Brewing Company,IPA - New England / Hazy,4,3.77,05/08/21,05/08/21
Cody Red,Farmhand Brewing Company,Red Ale - Irish,3.25,3.97,05/08/21,05/08/21
German Chocolate Cake Stout,Farmhand Brewing Company,Stout - Milk / Sweet,4,3.93,05/08/21,05/08/21
Zimm Light,Farmhand Brewing Company,Lager - American Light,4,3.61,05/08/21,05/08/21
Oude Kriek,pFriem Family Brewers,Lambic - Kriek,2,4.13,05/06/21,05/06/21
Barrel-Aged Oort,Ecliptic Brewing,Stout - Imperial / Double,4,4.17,05/06/21,05/06/21
Barrel Aged The Visitor Imperial Stout (Malted Milk Ball) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,3.75,3.86,05/06/21,05/06/21
Mixed Cuvees (2021),Cycle Brewing Company,Stout - Imperial / Double,4,4.36,05/06/21,05/06/21
Beer For Sandwiches,Barn Town Brewing,Lager - American,3.75,3.61,05/02/21,05/02/21
