Beer,Brewery,Style,YourRating,GlobalRating
Hard Mountain Dew Original,Green Rebel Brewing Company,Flavored Malt Beverage,3,3.34
Hard Mountain Dew Black Cherry,Green Rebel Brewing Company,Flavored Malt Beverage,3.25,3.43
Hard Mountain Dew Baja Blast,Green Rebel Brewing Company,Flavored Malt Beverage,3.25,3.48
Ruthie,Exile Brewing Company,Lager - Pale,3.5,3.59
Maximón (Bourbon BA Special),Sori Brewing,Porter - Imperial / Double Baltic,4,4.22
Death of the Sun,Drake's Brewing Company,Stout - Imperial / Double,4.25,4.21
Big Bad Baptist Black Forest Cake,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double,4,3.99
11th Anniversary Chocolate & Caramel Stout,Westbrook Brewing Co.,Stout - Imperial / Double Pastry,3.75,3.95
Sin Highway,New Anthem Beer Project,Stout - Imperial / Double,4,4.16
What Evil Lurks [Coffee + Cacao + Pumpkin Spices + Maple] (Ghost 1119),Adroit Theory,Stout - Russian Imperial,3.75,4.25
Castle Cream Ale,Castle Danger Brewery ,Cream Ale,3.75,3.74
Blackout Brunch,Turning Point Beer,Stout - Imperial / Double Pastry,4.25,4.37
"Kriek, A Spontaneous Cuvée",Block 15 Brewing Company,Sour - Flanders Oud Bruin,2,4.06
Blueberry Crumble Slushy,903 Brewers,Sour - Fruited Berliner Weisse,4,4.22
Helles Schlenkerla Lagerbier,"Schlenkerla (""Heller-Bräu"" Trum)",Lager - Helles,3.25,3.49
Barrel-Aged Koko Krampus (2021),Old Irving Brewing Co.,Stout - Imperial / Double Milk,4.75,4.4
Double Dry Hopped Mylar Daydream,Other Half Brewing Co.,IPA - Imperial / Double,4.25,4.38
Faubourg Lager,Faubourg Brewing Co.,Pilsner - Czech,3.25,3.45
Session Premium Lager,Full Sail Brewing Company,Lager - Pale,3.25,3.37
DHop 38,Equilibrium Brewery,IPA - Imperial / Double,4,4.12
Wordy But Unclear,Adventurous Brewing,Stout - Imperial / Double Coffee,4.25,4.23
GAZPROM! (2017),Lion Bridge Brewing Company,Stout - Russian Imperial,4,4.28
Barrel Aged Oco Noco,Lion Bridge Brewing Company,Stout - Imperial / Double Milk,4.5,4.51
Infinite Wishes (Bourbon Barrel Aged),Smog City Brewing Co.,Stout - Imperial / Double,3.5,4.12
Strawberry Drive-In,Barn Town Brewing,IPA - Milkshake,3.75,4.15
Dark Cabaret (2021),Breakside Brewery,Stout - Imperial / Double,3.75,4.25
Cowboy Siesta,Fair-Weather Friend,Stout - Imperial / Double,4.25,4.25
Culinary Fuel,Barn Town Brewing,Sour - Fruited,3.75,3.87
Chocolate Mint Stout Aged In Kentucky Bourbon Barrels,Guinness Open Gate Brewery ,Stout - Imperial / Double Pastry,3.25,3.8
Blackened Voodoo ,Faubourg Brewing Co.,Lager - Dark,3.5,3.43
Remembered Time,Lion Bridge Brewing Company,Strong Ale - Other,4,4.22
Silver Star Bock,Franconia Brewing Company ,Bock - Single / Traditional,3.5,3.54
Dixie Brewery Light,NOLA Brewing,Golden Ale,3.5,3.17
Marky Ramone's Hoppy Pilsner,LERVIG,Pilsner - Other,2.5,3.3
Aecht Schlenkerla Eiche - Doppelbock,"Schlenkerla (""Heller-Bräu"" Trum)",Rauchbier,0.25,3.71
Nut Brown,Ithaca Beer Company,Brown Ale - English,2,3.6
India Pale Ale,Green's Beers,Sorghum / Millet Beer,2,3.07
The Oracle,Anchorage Brewing Company,Sour - Fruited,0.25,4.06
Sugarwood Baklava,Boulevard Brewing Co.,Brown Ale - Imperial / Double,2.75,4.04
Colossus,Lua Brewing,IPA - Triple,4.25,4.37
La Roja (Boysenberry & Guava Edition),Jolly Pumpkin Artisan Ales,Sour - Flanders Red Ale,0.25,4.02
Kinky Aloha,Kinky Beverage Company,Flavored Malt Beverage,0.25,3.51
Cayman Jack Cuban Mojito,American Vintage Beverage Co.,Flavored Malt Beverage,0.25,3.28
Gin Inspired Spiced Hard Cider,Jefferson County Ciderworks,Cider - Herbed / Spiced / Hopped,3.5,3.75
Sticky Juice,Barn Town Brewing,IPA - New England / Hazy,4,4.32
Star Gazing with 8th State,Humble Forager Brewery,Stout - Imperial / Double Pastry,4.5,4.2
Breakfast Ante Meridiem,Monday Night Brewing,Brown Ale - Other,4.25,4.29
Infinite Wishes,Smog City Brewing Co.,Stout - Imperial / Double,4.25,4.23
Old Blue,Wilson's Orchard Hard Cider,Cider - Traditional / Apfelwein,4,3.93
Big Bang! Sweet Stout,Lake Time Brewery,Stout - Milk / Sweet,3.5,3.56
