Beer,Brewery,Style,YourRating,GlobalRating
Jacuzzi Moves,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.37
Drury Lane,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.25,4.26
Barrel Aged The Visitor Imperial Stout (Triple Chocolate) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,3.75,4.04
Ghosts of Giants,Varietal Beer Co.,Stout - Imperial / Double,3,3.97
This $+ØU+ Just Got Serious,Untitled Art,Stout - Imperial / Double Pastry,4.5,4.26
Paul’s Pail,Twisted Vine Brewery (Iowa),Pale Ale - American,3.5,3.47
Big Frooty #32: Pineapple Upside Down Cake,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.11
Big Frooty #31 - Boodrow,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.01
Bragging Rights,SingleSpeed Brewing Company,IPA - New England / Hazy,4,3.97
Coffee Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double Coffee,4.5,4.45
Hadal,Lua Brewing,Stout - Imperial / Double,4.25,4.37
Imperial Marshmallow Fluff Nutcase (2020),Listermann Brewing Company,Porter - Imperial / Double,4,3.95
Weather Beacon Red,Confluence Brewing Company,Märzen,4,3.73
Woke Holidays,Gezellig Brewing Company,Red Ale - American Amber / Red,2.5,3.79
Minuteman,Big Grove Brewery,IPA - Imperial / Double,2,3.98
Honey Luna,NoCoast Beer Co,IPA - Imperial / Double,3.5,3.73
Mudslinger,Back Road Brewery,Stout - American,2,3.18
Noel Classique,Worth Brewing Company,Belgian Strong Golden Ale,2,3.5
French Quarter Temptress,Lakewood Brewing Co.,Stout - Imperial / Double Milk,4.25,4.16
Rêve Coffee Stout,Parish Brewing Co.,Stout - Coffee,3.75,4.22
All That I Have Learned (Ghost 912),Adroit Theory,Stout - Russian Imperial,4.5,4.34
SIPS: Parish Sunrise,Parish Brewing Co.,Sour - Fruited Berliner Weisse,2.5,3.96
Mind Haze,Firestone Walker Brewing Company,IPA - New England / Hazy,3.75,3.77
Smoofee Sour - Banana Peanut,The Brewing Projekt,Sour - Smoothie / Pastry,3,3.72
Vanilla Bean,Locust Cider,Cider - Sweet,3,3.84
Juicy Bits,WeldWerks Brewing Co.,IPA - New England / Hazy,4,4.18
12 On Twelve12,Barn Town Brewing,Stout - Imperial / Double,4.5,4.41
Barrel Aged Cicada Killer (w/ Coconut) (2020),Barn Town Brewing,Stout - Imperial / Double,4.25,4.31
French Toast (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4,4.15
Green Dragon,Lion Bridge Brewing Company,Pilsner - Other,3.5,3.71
Bourbon County Brand Mon Chéri Stout (2019),Goose Island Beer Co.,Stout - Imperial / Double,4,4.31
Some IPA,Pulpit Rock Brewing Company,IPA - American,4,4.04
Alma Mater (2019),Pulpit Rock Brewing Company,IPA - Imperial / Double,3.5,4.03
Raspberry Mother,Parkside Brewing Company,Sour - Berliner Weisse,2.75,3.65
Blustery,Pulpit Rock Brewing Company,Sour - Other,4.5,4.37
Donut Go Breakin' My Heart,Pulpit Rock Brewing Company,Sour - Fruited,4.5,4.3
Banana Straws,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.5,4.35
Strata-G,Pulpit Rock Brewing Company,IPA - Imperial / Double,4.5,4.14
Saturday Morning Cherry Chocolate,Backpocket Brewing,Sour - Smoothie / Pastry,4,3.8
Tropical Burn Mango DIPA,Firetrucker Brewery,IPA - Imperial / Double,4,3.85
Roxie Irish Red,Boone Valley Brewing Company,Red Ale - Irish,3.5,3.59
Dragon Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4,4.21
Strawberry Shortcake Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4,4.17
Term Oil S'mores,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.5
Kentucky Brunch Brand Stout (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.87
Vanilla Bean Assassin (2019),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.77
Kaiju Clash,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.25,4.37
Term Oil Fluffernutter,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.55
Richard the Whale: Coffee (2020),Big Grove Brewery,Stout - Russian Imperial,4.25,4.33
Richard the Whale: Vietnamese Coconut Coffee (2020),Big Grove Brewery,Stout - Russian Imperial,4.5,4.6
Hopsmack! ,Toppling Goliath Brewing Co.,IPA - Imperial / Double,3.75,4.18
Old Man Winter Barley Wine,Lake Time Brewery,Barleywine - American,2.5,3.46
Caramel Apple Hard Cider,Wilson's Orchard Hard Cider,Cider - Dry,3.5,3.6
Octoberfest,Fenders Brewing,Lager - Vienna,3.75,3.83
Thick Avenue,Lua Brewing,Sour - Fruited,3,4.05
"Ferryman's Chocolate Orange, Bourbon Barrel Aged Russian Imperial Stout W/ Cacao, Orange Peel, & Cinnamon",Confluence Brewing Company,Stout - Russian Imperial,3.25,4.03
Pushpop: Least Best,Lua Brewing,Sour - Fruited,4.25,4.5
Tryptophan,Lua Brewing,IPA - Triple,4.25,4.48
Hop Doom,Naparbier,IPA - Imperial / Double,3.75,3.95
Cran Apple Crisp,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.97
Hedonistic,Lua Brewing,Stout - Imperial / Double,4.75,4.58
Yer Killin' Me S'mores!,Barn Town Brewing,Stout - Pastry,4,4.09
Bourbon County Brand Stout (2017) 14.7%,Goose Island Beer Co.,Stout - Imperial / Double,4.5,4.51
Skunkworks Double IPA (Cognac Barrel Aged),Moon Dog Craft Brewery,IPA - Imperial / Double,4,3.83
Sun Reaper,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4,4.11
Christmas Bomb!,Prairie Artisan Ales,Stout - Imperial / Double,4,4.11
Imperial Smells Like Bean Spirit - Special Roast (French Toast),Mikerphone Brewing,Stout - Imperial / Double Coffee,4.25,4.16
Double Button Down,Barn Town Brewing,IPA - Imperial / Double,3.75,3.83
Rocky Road,Hubbard's Cave,Stout - Imperial / Double Pastry,4,4.03
KBS Espresso (2020),Founders Brewing Co.,Stout - Imperial / Double Coffee,4,4.23
Grand Cru,North Coast Brewing Company,Strong Ale - American,1,3.84
Santa's Cookie Duster,Marz Community Brewing Co.,Barleywine - Other,2,3.73
Peachy Bones Batch #3 (2018),Firestone Walker Brewing Company,Wild Ale - American,2,4.06
Manic_pixie_eco_warrior,Solemn Oath Brewery,Barleywine - English,3.5,3.75
KBS Maple Mackinac Fudge (2020),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.37
Big Frooty #27: Kleetus B,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.1
Big Frooty #26: Mace Daddy,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.99
Double Donuts (Barrel-Aged),SingleSpeed Brewing Company,Stout - Imperial / Double Oatmeal,4,4.22
Jõuluöö,Põhjala,Porter - Imperial / Double,3.75,3.9
Blessed,Anchorage Brewing Company,Stout - Imperial / Double,5,4.76
Pseudo Sue,Toppling Goliath Brewing Co.,Pale Ale - American,4.25,4.13
Double Dry Hop King Sue,Toppling Goliath Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.41
Shiner Holiday Cheer,Spoetzl Brewery,Wheat Beer - Dunkelweizen,3.25,3.59
Respite,Lua Brewing,Lager - Helles,3.75,3.92
Baby's First SmushPop,Lua Brewing,Sour - Other,4,4.32
Double Pushpop: To A Tradition,Lua Brewing,Sour - Fruited,4.25,4.55
Vladibeer Putin,NoCoast Beer Co,Stout - Russian Imperial,3.5,3.9
Wit Or Without You,Mistress Brewing Company,Wheat Beer - Witbier / Blanche,3.75,3.49
Peanut Butter Porter/ Whiskey Barrel,Mistress Brewing Company,Porter - Other,3.75,3.59
Sahti,Mistress Brewing Company,Malt Beer,3,3.7
Shiner Ruby Redbird,Spoetzl Brewery,Fruit Beer,3.5,3.31
Ayinger Oktober Fest-Märzen,Ayinger Privatbrauerei,Märzen,3.5,3.82
Oktoberfest,Lakefront Brewery,Märzen,3.5,3.56
B.O.R.I.S. The Crusher,Hoppin' Frog Brewery,Stout - Russian Imperial,3.5,4.05
Assassin with Coconut (2019),Toppling Goliath Brewing Co.,Stout - Imperial / Double,5,4.59
Pie Eyed,Lua Brewing,Sour - Fruited,4,4.32
Carpe Diem (2019),Madhouse Brewing Company,Stout - Imperial / Double,4.75,4.45
Richard the Whale ,Big Grove Brewery,Stout - Russian Imperial,4.25,4.27
Big Frooty #24: Johnny La Rouge,Barn Town Brewing,Sour - Smoothie / Pastry,2,3.96
Pivot!,Barn Town Brewing,IPA - New England / Hazy,3.75,3.92
Perfectly Pleasant,Gezellig Brewing Company,Stout - American,3,3.96
Little Black Dress,Mistress Brewing Company,IPA - Black / Cascadian Dark Ale,3.5,3.58
Gable,SingleSpeed Brewing Company,Lager - Helles,4,3.64
Saturday Morning Blackberry & Raspberry,Backpocket Brewing,Sour - Smoothie / Pastry,4,4.08
Ecto Coolest,Barn Town Brewing,Sour - Fruited,4,3.96
Violet Underground,Firestone Walker Brewing Company,Wild Ale - Other,1.75,4.11
Barrel Aged Comrade With Coffee And Vanilla,ZümBier,Stout - Russian Imperial,4,4.32
Blonde Fatale,Peace Tree Brewing Company,Belgian Blonde,3,3.7
Big Big Trouble,Hopfly Brewing Co.,Stout - Imperial / Double Coffee,4,4.12
Oktobot 3000 (2020),Lion Bridge Brewing Company,Märzen,3.75,3.96
Mango Fett,Franklin Street Brewing Company,IPA - New England / Hazy,4,3.92
Barrel Aged The Visitor Imperial Stout (Coconut Haystack) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.23
Murking Man Blues,Austin Brothers Beer Co,IPA - New England / Hazy,3,3.83
Miracle Toast,Hoof Hearted Brewing,Stout - Imperial / Double,3.5,4.06
Black Butte XXXI,Deschutes Brewery,Porter - Imperial / Double,2.5,4.12
Black Is Beautiful,Lua Brewing,Stout - Imperial / Double Pastry,4.5,4.49
Longboard Island Lager,Kona Brewing Company,Lager - Pale,3.5,3.4
Shiner S'More,Spoetzl Brewery,Brown Ale - American,3.5,3.62
8th Anniversary Almond Coconut Chocolate Stout,Backpocket Brewing,Stout - Russian Imperial,4.25,4.09
Game of Thrones: For the Throne,Brewery Ommegang,Belgian Strong Golden Ale,4,3.79
Ice Raspberry,Smirnoff,Flavored Malt Beverage,3.5,3.23
Barrel-Aged Dark & Stormy,Cahoots Brewing,Hard Ginger Beer,3.75,3.48
Barrel Aged Badgers Nadgers Barleywine -- Batch II (8/14/19,Alluvial Brewing Company,Barleywine - English,3,4.12
Yodo Con Leche,5 Rabbit Cervecería,Porter - Imperial / Double Coffee,4,4.04
B-Bomb (2016),Fremont Brewing,Winter Ale,3.75,4.36
Barrel Aged Velvet | 2020,Big Grove Brewery,Stout - Imperial / Double,4.75,4.66
Zeelander,Toppling Goliath Brewing Co.,IPA - American,3.75,4.02
Oberon Ale,Bell's Brewery,Wheat Beer - American Pale Wheat,3.75,3.75
Peanut Butter Cup Imperial Stout (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4,3.93
Emperor Norton,Almanac Beer Company,IPA - Belgian,3.5,3.76
"Wicked Tripel, Oak Barrel Aged Belgian-Style Tripel Ale",Confluence Brewing Company,Belgian Tripel,1.5,3.76
Pumpkinhead Ale,Shipyard Brewing Company,Pumpkin / Yam Beer,3.75,3.61
Loud As Hope,Lua Brewing,Wheat Beer - Hefeweizen,4.25,3.91
Daisy,Mistress Brewing Company,Lager - American,3,3.5
Shiner Oktoberfest,Spoetzl Brewery,Märzen,3.5,3.46
Black Butte Porter,Deschutes Brewery,Porter - American,3,3.81
Hold the Spoon: Black Chocolate Cake,The Bruery,Stout - Imperial / Double Pastry,4.25,4.09
Mistress Boudica,Mistress Brewing Company,Stout - English,3.5,3.58
Mistress Mae,Mistress Brewing Company,Belgian Quadrupel,3.75,3.85
Dino S'mores,Off Color Brewing,Stout - Russian Imperial,4,4.02
Imperial Wedding Cake Break (2019),Evil Twin Brewing,Porter - Imperial / Double,4,3.94
Even More 8lb 6oz Newborn Infant Jesus,Evil Twin Brewing,Stout - Milk / Sweet,3.5,3.4
Imperial Biscotti Break,Evil Twin Brewing,Stout - Imperial / Double,4,4.08
Brigade Ale,Firetrucker Brewery,Golden Ale,3.75,3.57
Waffle Stout,Firetrucker Brewery,Stout - Oatmeal,3.75,3.7
Reindeer Tears (2018),Heathen Brewing,Barleywine - American,3.75,4
Black Is Beautiful,Weathered Souls Brewing Co.,Stout - Imperial / Double,4.25,3.92
Triple Surfer,Trophy Brewing Company,IPA - Triple,3,4.14
Oak Aged Belgian Quad Ale,Mistress Brewing Company,Belgian Quadrupel,3.5,3.8
Hoopla,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.28
Lunch,Maine Beer Company,IPA - American,4,4.17
Coffee Diem,Mistress Brewing Company,Porter - Coffee,2.5,3.76
Mistress Pineapple IPA,Mistress Brewing Company,IPA - American,3.25,3.65
Mistress Maibock,Mistress Brewing Company,Bock - Hell / Maibock / Lentebock,3.75,3.54
Secondhand Rose Strawberry Blonde Ale,Mistress Brewing Company,Blonde Ale,3,3.54
Dankalope IPA,Exile Brewing Company,IPA - American,3.5,3.79
Hazelnut Pot De Crème (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4,4.13
Cin Sin (2020),Barn Town Brewing,Stout - Imperial / Double,4,4.03
I Believe In Love,Allagash Brewing Company,Sour - Fruited,3.5,4.06
Ghosts in the Forest (Guava),The Lost Abbey,Wild Ale - American,2.5,4.16
Hazy Day IPA,Carroll Brewing Company,IPA - Session,3.5,3.66
Imperial Coconut Porter,Maui Brewing Company,Porter - Imperial / Double,4,4.13
10th Anniversary Barrel-Aged Torpedo,Sierra Nevada Brewing Co.,IPA - American,3.25,3.96
Orange Lazarus Milkshake IPA,Alluvial Brewing Company,IPA - Milkshake,4.5,3.98
Sweet Baby Jesus!,DuClaw Brewing Company,Porter - American,3.75,3.83
Strawberry Lemonade,Big Grove Brewery,Sour - Fruited,3.75,3.74
Remember,Lua Brewing,Stout - Imperial / Double,4.75,4.52
Aurox Imperial Stout w/ Maple,Alluvial Brewing Company,Stout - Russian Imperial,4,4.3
Weissbier,Carroll Brewing Company,Wheat Beer - Other,3.75,3.72
India Pale Ale,Carroll Brewing Company,IPA - American,3.75,3.61
Kentucky Peach Barrel Wheat Ale,Lexington Brewing & Distilling Co.,Fruit Beer,2.5,3.49
Allagash White,Allagash Brewing Company,Wheat Beer - Witbier / Blanche,3.5,3.75
Out of Melee Range (2020),Listermann Brewing Company,Stout - Pastry,4.25,4.14
Cavatica Stout,Fort George Brewery,Stout - Imperial / Double,3.75,3.91
"Dark Realm W/ Hazelnuts, Coffee, Maple Syrup & Cinnamon",Short Fuse Brewing Company,Stout - Russian Imperial,4.25,4.05
Imperial Smells Like Bean Spirit,Mikerphone Brewing,Stout - Imperial / Double Coffee,4.5,4.28
Peanut Butter Jelly Crime,Superstition Meadery,Mead - Melomel,4,4.16
DDH Tropic-Hero,Revolution Brewing Company,IPA - New England / Hazy,4,3.98
Peach Vanilla Space Crystals,Lil Beaver Brewery,IPA - Imperial / Double Milkshake,3.75,4.09
Vanilla Drive-In,Barn Town Brewing,IPA - Milkshake,4.25,4.06
Shiner Mango Kölsch,Spoetzl Brewery,Kölsch,3,3.53
For Life,Indie Brewing Company,Stout - Imperial / Double,3.75,4.09
Liberty Sandwich,4 Hands Brewing Company,Stout - Imperial / Double,4.25,4.1
Hop Peak IPA,Breckenridge Brewery,IPA - American,3.75,3.64
Vanilla Porter,Breckenridge Brewery,Porter - American,3.75,3.77
Black,Allagash Brewing Company,Stout - Other,3.5,3.8
Golden Prairie Doppel Alt,Golden Prairie Fermentations,Altbier,3.75,3.72
Shiner Sea Salt & Lime Summer Lager,Spoetzl Brewery,Lager - American Light,3.5,3.42
Gold Cliff,Kona Brewing Company,IPA - American,3.5,3.65
Shiner Hill Country Peach Wheat Ale,Spoetzl Brewery,Wheat Beer - Witbier / Blanche,3.5,3.63
Assassin (2020),Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.5,4.59
Gunner's Daughter,Mast Landing Brewing Co.,Stout - Milk / Sweet,4.25,4.15
Bakery: Oatmeal Cookie,The Bruery,Stout - Imperial / Double Pastry,4.25,4.08
Tickle Monster,Drekker Brewing Company,IPA - Imperial / Double New England / Hazy,3.75,4.13
Blueberry Coffee & Cakes (All Canned Dates),Hubbard's Cave,Stout - Imperial / Double Pastry,4.75,4.25
Pale Ale,Sierra Nevada Brewing Co.,Pale Ale - American,4,3.63
Shiner Strawberry Blonde,Spoetzl Brewery,Fruit Beer,3,3.34
Cicada Killer Maple Coffee (2019),Barn Town Brewing,Stout - Imperial / Double,4.25,4.29
Drawing A Blank,Abomination Brewing Company,IPA - Triple New England / Hazy,4,3.99
FSB 2019: PART 1,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,4.75,4.17
Ace Perry Cider,Ace Cider (The California Cider Company),Cider - Perry,3.75,3.68
Cuveé Du Jongleur (2017),Cascade Brewing,Sour - Other,0.25,4.23
Michelob AmberBock,Anheuser-Busch,Bock - Single / Traditional,3.5,3.1
The Temptress,Lakewood Brewing Co.,Stout - Imperial / Double Milk,4,4.05
Big Frooty #10: Plum & Grape CoolAide,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.35
Big Frooty #11: Tangerine & Tang,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.38
Hop Waka (Pineapple Passion),Brightside Aleworks,IPA - New England / Hazy,4,4.01
Big Frooty #9: Strawberry Chocolate Cheesecake,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.22
Enlighten-Mint Stout,Brightside Aleworks,Stout - American,4,3.96
Hazy Diamond Bling Sauce,Brightside Aleworks,IPA - Imperial / Double New England / Hazy,4,4.02
Degrees of Boredom,Brightside Aleworks,IPA - Session,3.25,3.97
Norseman's Wrath,Toppling Goliath Brewing Co.,Stout - Russian Imperial,3.75,3.75
Barrel Aged Mexican Chocolate Peanut Butter Imperial Stout,Belching Beaver Brewery,Stout - Imperial / Double,4.25,4.27
Coffee Cloud Maker,Lil Beaver Brewery,Stout - Imperial / Double,4.25,3.85
Morticia : Mint Chocolate Chip,Barrier Brewing Company,Stout - Russian Imperial,3.75,3.89
Lemon Bar Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.08
FSB 2019: PART 2,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,4.25,4.04
Three Philosophers,Brewery Ommegang,Belgian Quadrupel,3.75,3.95
Zombie Dust,3 Floyds Brewing,Pale Ale - American,4.25,4.26
Strawberry Chocolate Cheesecake,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,3.99
Antidote BA Blonde Stout,Backpocket Brewing,Stout - Imperial / Double White / Golden,4.25,3.91
"Big Frooty: Peach, Strawberry, Red Raspberry",Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.22
Holding Pattern,Barn Town Brewing,IPA - New England / Hazy,4,4
Bud Light,Anheuser-Busch,Lager - American Light,3.5,2.33
Coffee Cinnamon B-Bomb (2019),Fremont Brewing,Winter Ale,4.25,4.41
Wagon Wheel Wit,Barn Town Brewing,Wheat Beer - Witbier / Blanche,4.25,3.54
MMMMMM.......DROP!,Barn Town Brewing,IPA - Imperial / Double,3.75,4.07
At Arm's Length™,Great Raft Brewing,Lager - IPL (India Pale Lager),4,3.82
Term Oil 19-C,Toppling Goliath Brewing Co.,Stout - Imperial / Double,4.25,4.42
Mornin' Delight,Toppling Goliath Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.63
"Big Frooty #1: Blackberry, Peach, Pineapple",Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.22
Dirty Secret,Pulpit Rock Brewing Company,Pale Ale - American,5,4.11
"Big Frooty: Strawberry, Blueberry, Red Raspberry",Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.35
Big Frooty: Plum & Pineapple,Barn Town Brewing,Sour - Smoothie / Pastry,4.25,4.28
Cicada Killer with Maple (2019),Barn Town Brewing,Stout - Imperial / Double,4.5,4.2
Pushpop: Maybe Love Is the Reason Why,Lua Brewing,Sour - Fruited,4.5,4.56
Saturday Morning Grape & Blueberry,Backpocket Brewing,Sour - Smoothie / Pastry,4,3.98
Pabst Blue Ribbon Hard Coffee,Pabst Brewing Company,Flavored Malt Beverage,4,3.9
Citra Neon Hazy IPA,Barn Town Brewing,IPA - New England / Hazy,4.5,4.25
29er,Fenders Brewing,IPA - American,3.75,3.83
Leinenkugel's Original,Jacob Leinenkugel Brewing Company,Lager - Pale,3.5,3.23
Always Bag Yer Peppers,Barn Town Brewing,Stout - Pastry,3.75,3.97
Chocolate Bouncy House,Barn Town Brewing,Stout - Milk / Sweet,4,4.05
Sugar Shower,Barn Town Brewing,Fruit Beer,4,3.83
Dragon's Milk,New Holland Brewing,Stout - Imperial / Double,4,4.06
Mischievous Grin,Barn Town Brewing,Sour - Fruited,3,4.05
Midnight Matinee,Barn Town Brewing,Stout - Imperial / Double Pastry,4,4.08
American Beauty,Dogfish Head Craft Brewery,Pale Ale - American,4,3.69
Blueberry Pancakes,Barn Town Brewing,Stout - Imperial / Double Milk,4,4.06
"""The Gang Brews A Beer""",Brightside Aleworks,IPA - New England / Hazy,4,4.12
Slimothy James,Lua Brewing,IPA - Imperial / Double,4.25,4.17
Brooklyn Lager,Brooklyn Brewery,Lager - Vienna,3,3.46
10 Hour Brunch,Brightside Aleworks,Stout - Imperial / Double,4.25,4.15
Dosvidanya Rye Barrel (2019),DESTIHL Brewery,Stout - Imperial / Double,4,4.26
Black Cherry Ale,Redd's Brewing Company,Fruit Beer,2.5,3.5
Coors Light,Coors Brewing Company,Lager - American Light,2.5,2.42
Barrel Aged B.O.R.I.S. Royale (2019),Hoppin' Frog Brewery,Stout - Imperial / Double,4.25,4.19
Hard Apple Pie,Sprecher Brewing Company,Fruit Beer,3.5,3.54
Strawberry Hopcake,Almanac Beer Company,Sour - Fruited,0.25,3.99
Kill All The Golfers,B. Nektar Meadery,Mead - Metheglin,2,3.62
Helles Lager,KC Bier Co.,Lager - Helles,3,3.61
Tropical Torpedo,Sierra Nevada Brewing Co.,IPA - American,3.5,3.62
Kentucky Breakfast Stout (KBS),Founders Brewing Co.,Stout - Imperial / Double Coffee,4.5,4.39
Frucht: Passion Fruit,The Bruery Terreux,Sour - Fruited Berliner Weisse,0.25,3.98
Smoked Porter,Alaskan Brewing Co.,Smoked Beer,3.75,3.73
Twisted Tea Raspberry,Twisted Tea Brewing Company,Flavored Malt Beverage,3.75,3.22
Anchor California Lager,Anchor Brewing Company,Lager - Pale,3.5,3.39
Mike's Classic Margarita,Mike's Hard Lemonade Company,Flavored Malt Beverage,2.25,3.04
Anchor Porter,Anchor Brewing Company,Porter - American,3.5,3.57
Saison,Funkwerks,Farmhouse Ale - Saison,3.75,3.75
Barrel Aged Aurox Imperial Stout (Vanilla Bean) -- Batch III (3/11/2019),Alluvial Brewing Company,Stout - Imperial / Double,5,4.28
From Zero To Iffy,Gezellig Brewing Company,Stout - Imperial / Double Milk,4.5,4.07
Rauch Geek Breakfast,Mikkeller Brewing San Diego,Smoked Beer,3,3.77
Sapporo Premium Beer,Sapporo Breweries,Lager - Pale,2.25,3.18
Petite Sour Raspberry,Crooked Stave Artisan Beer Project,Wild Ale - American,0.25,4.04
Hop Stoopid,Lagunitas Brewing Company,IPA - Imperial / Double,4,3.93
Big Bad Baptist,"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double Coffee,4.5,4.18
Peach & Chong,Barn Town Brewing,Sour - Fruited,4.5,4.09
Blueberry Love Muffin Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.18
Marshal Zhukov's,Cigar City Brewing,Stout - Russian Imperial,4.5,4.18
Silly People,Off Color Brewing,Sour - Traditional Gose,1,3.99
Kentucky Bourbon Barrel Ale,Lexington Brewing & Distilling Co.,Strong Ale - American,3.75,3.85
Black Jack Cola,Jack Daniel's Beverage Co.,Malt Liquor,3,3.21
Kentucky Coffee Barrel Cream Ale,Lexington Brewing & Distilling Co.,Cream Ale,3.75,3.9
Blue Paw Wild Blueberry,Sea Dog Brewing Company,Wheat Beer - Other,3.75,3.61
Budweiser Nitro Reserve Gold,Anheuser-Busch,Lager - American,2.5,2.98
Anxious,Lua Brewing,Stout - Imperial / Double,4.75,4.49
Fantastic Voyage,Perennial Artisan Ales,Stout - Imperial / Double Milk,4,3.92
The Hairy Eyeball,Lagunitas Brewing Company,Strong Ale - American,3.5,3.7
Expedition Stout,Bell's Brewery,Stout - Russian Imperial,3.75,4.05
Bourbon Barrel Aged Imperial Blueberry Maple Stout (2019),Saugatuck Brewing Company,Stout - Imperial / Double Milk,4.5,4.15
Jalapeño Cider,Saro Cider,Cider - Herbed / Spiced / Hopped,0.25,3.62
Shiner Light Blonde,Spoetzl Brewery,Lager - American Light,3,3.18
Hola Señor,Knee Deep Brewing Company,Lager - Mexican,2.75,3.54
Original,Lone Star Brewing Co.,Lager - American,3,2.91
Love Street,Karbach Brewing Co.,Kölsch,3.25,3.56
Landshark Lager,Margaritaville Brewing Co.,Lager - American,3.5,3.22
Lip Kick,Prairie Pride Brewing Co.,Brown Ale - Imperial / Double,3.75,3.72
Barrel Aged Silhouette,Lift Bridge Brewing Company,Stout - Russian Imperial,4.25,4.31
Not Your Father's Root Beer (5.9%),Not Your Father’s,Root Beer,3.75,3.99
Oatmeal Stout,Free State Brewing Co.,Stout - Oatmeal,3.5,3.57
Woodchuck Seasonal Winter Chill,Woodchuck Cidery,Cider - Traditional / Apfelwein,2.5,3.38
420 Extra Pale Ale,SweetWater Brewing Company,Pale Ale - XPA (Extra Pale),3.75,3.61
Reposado Pear,Wyder's Cider,Cider - Perry,2.75,3.7
Hanalei Island IPA,Kona Brewing Company,IPA - Session,3.75,3.55
Peanut Butter Chocolate Milk Stout,Lost Coast Brewery,Stout - Milk / Sweet,4.5,3.85
Materfamilias,Mother's Brewing Company,Stout - Imperial / Double,4.25,4.14
Amber,Alaskan Brewing Co.,Altbier,3.5,3.61
Michelob Golden Light,Anheuser-Busch,Lager - American Light,3.5,2.82
Lone Star Light,Lone Star Brewing Co.,Lager - American Light,2.5,2.79
Shiner Lemon Pils,Spoetzl Brewery,Pilsner - Other,3.25,3.04
White,Funkwerks,Wheat Beer - Witbier / Blanche,4,3.61
Stripe Cake,Big Grove Brewery,Sour - Fruited Berliner Weisse,1.5,4.03
#Adulting,Evil Genius Beer Company,IPA - American,4.25,3.74
Sour Inc: Concord Grape Gose,New Holland Brewing,Sour - Fruited Gose,0.25,3.68
Celebration Fresh Hop IPA,Sierra Nevada Brewing Co.,IPA - American,4,3.73
Quinn's Amber Lager,Pecatonica Beer Company,Lager - Amber,3.5,3.22
Sidecar Orange IPA,Sierra Nevada Brewing Co.,IPA - American,4,3.55
Bud Light Lime,Anheuser-Busch,Lager - American Light,3.5,2.63
Devil Strip,Hoppin' Frog Brewery,Black & Tan,3.75,3.67
Southern Pecan,Lazy Magnolia Brewing Company,Brown Ale - English,3.5,3.58
Certified Evil,Lucky Bucket Brewing Company,Stout - Imperial / Double Oatmeal,4,3.8
Dan the Wiser,Kinkaider Brewing Company,Kölsch,4,3.54
Radial IPA,Infusion Brewing Company,IPA - American,2.25,3.6
Winter Ale,Summit Brewing Company,Winter Ale,3.75,3.53
Milk Stout,Left Hand Brewing Company,Stout - Milk / Sweet,3.75,3.89
Peach Tea,McKenzie's Hard Cider,Cider - Traditional / Apfelwein,3.75,3.7
Rolling Rock Extra Pale,Latrobe Brewing Co.,Lager - Pale,3.25,2.8
